DATAFLOW,LAST UPDATE,freq,entity,indic_bp,fdi_item,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,AT,2013,65.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,AT,2014,67.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,AT,2015,65.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,AT,2016,53.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,AT,2017,55.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BE,2013,102.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BE,2014,114.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BE,2015,123.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BE,2016,115.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BE,2017,111.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BG,2013,87.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BG,2014,87.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BG,2015,88.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BG,2016,84.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,BG,2017,82.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CY,2013,851.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CY,2014,841.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CY,2015,1041.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CY,2016,1058.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CY,2017,989.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CZ,2013,61.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CZ,2014,64.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CZ,2015,61.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CZ,2016,63.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,CZ,2017,65.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DE,2013,24.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DE,2014,24.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DE,2015,23.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DE,2016,23.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DE,2017,24.2,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DK,2013,29.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DK,2014,38.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DK,2015,38.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DK,2016,44.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,DK,2017,43.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EE,2013,84.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EE,2014,86.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EE,2015,84.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EE,2016,86.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EE,2017,84.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2013,10.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2014,9.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2015,12.5,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2016,13.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,EL,2017,15.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2013,45.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2014,46.6,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2015,45.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2016,47.0,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,ES,2017,45.3,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2013,31.7,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2014,36.9,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2015,35.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2016,35.4,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FI,2017,32.8,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2013,26.1,
ESTAT:TEC00105(1.0),08/02/21 23:00:00,A,TOTAL,SGDP,DI__D__F,WRL_REST,FR,2014,26.8,
