DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2008,18.67,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2009,18.69,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2010,18.78,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2011,19.45,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2012,19.26,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2013,19.45,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2014,19.75,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2015,19.9,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2016,20.39,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2017,20.88,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,AT,2018,21.01,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,BA,2013,19.68,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,BA,2014,19.36,
ESTAT:EGI_EM1(1.0),19/02/21 11:00:00,A,B-N_S95_X_K,V16110,PC_TOT,BA,2016,20.2,
