DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2009,2960,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2010,3090,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2011,3190,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2012,3300,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2013,3320,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2014,3450,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2015,3560,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2016,3730,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2017,4020,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2018,4480,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2019,4820,p
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_EUR_HAB,AL,2020,4610,e
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2009,8662.2,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2010,8996.6,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2011,9268.3,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2012,9585.8,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2013,9625.4,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2014,9968.6,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2015,10264.1,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2016,10719.9,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2017,11559.0,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2018,12828.1,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2019,13752.8,p
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MEUR,AL,2020,13068.9,e
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MPPS,AL,2009,19625.6,
ESTAT:TEC00001(1.0),21/10/21 23:00:00,A,B1GQ,CP_MPPS,AL,2010,21464.6,
