DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1979,4.96,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1980,4.51,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1981,4.86,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1982,5.19,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1983,4.93,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1984,5.95,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1985,6.33,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1986,5.3,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1987,5.7,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1988,5.81,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1989,5.56,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1990,4.94,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1991,4.71,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1992,4.12,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1993,4.07,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1994,3.98,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1995,3.68,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1996,4.11,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1997,5.27,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1998,5.01,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,1999,5.38,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2000,5.68,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2001,5.61,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2002,5.85,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2003,6.19,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2004,6.18,
ESTAT:PAT_EP_NTOT(1.0),21/03/19 23:00:00,A,GDP_BEUR,AT,2005,6.21,
