DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2006,1750.34,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2007,1721.99,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2008,1626.17,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2009,1711.29,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2010,1770.51,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2011,1800.32,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2012,1862.96,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2013,1913.52,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2014,1961.19,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2015,2001.61,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2016,2025.15,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AT,2017,2029.62,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2006,212.05,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2007,207.89,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2008,195.74,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2009,205.31,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2010,212,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2011,214.96,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2012,221.57,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2013,226.4,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2014,230.54,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2015,233.15,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2016,232.76,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AT,2017,231.35,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2006,1024.03,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2007,942.63,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2008,920.06,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2009,916.28,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2010,822.01,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2011,871.52,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2012,856.17,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2013,836.13,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,AU,2014,840.84,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2006,50.07,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2007,45.26,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2008,43.3,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2009,42.24,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2010,37.31,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2011,39.01,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2012,37.67,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2013,36.16,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,AU,2014,35.79,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2006,1542.08,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2007,1564.96,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2008,1501.39,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2009,1418.15,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2010,1515.06,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2011,1516.51,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2012,1506.64,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2013,1536.14,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2014,1543.17,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2015,1569.72,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2016,1589.1,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BE,2017,1655.44,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2006,146.71,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2007,147.85,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2008,140.75,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2009,131.88,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2010,139.77,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2011,137.86,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2012,135.8,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2013,137.63,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2014,137.73,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2015,139.69,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2016,140.49,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BE,2017,145.83,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2006,27.13,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2007,12.17,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2008,18.65,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2009,15.83,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2010,16.97,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2011,26.38,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2012,33.82,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2013,39.82,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2014,47.44,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2015,31.88,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2016,31.06,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BG,2017,29.33,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2006,3.56,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2007,1.61,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2008,2.48,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2009,2.12,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2010,2.29,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2011,3.58,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2012,4.62,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2013,5.47,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2014,6.55,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2015,4.43,be
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2016,4.34,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BG,2017,4.13,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2006,225.92,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2007,270.47,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2008,287.77,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2009,259.31,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2010,226.5,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2011,251.56,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2012,254.18,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2013,252.47,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,BR,2014,261.13,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2006,1.22,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2007,1.44,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2008,1.52,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2009,1.35,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2010,1.17,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2011,1.29,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,BR,2012,1.29,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2006,2447.18,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2007,2358,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2008,2167.34,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2009,2292.88,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2010,2354.9,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2011,2233.28,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2012,2283.03,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2013,2279.75,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CA,2014,2254.7,e
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2006,75.12,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2007,71.61,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2008,65.05,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2009,67.98,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2010,69,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2011,64.76,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,P_MHAB,CA,2012,65.45,
ESTAT:TSC00009(1.0),08/02/21 23:00:00,A,NR,CH,2006,3228.82,
