DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2012,100.7,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2013,100.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2014,100.4,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2015,100.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2016,99.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2017,99.8,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2018,99.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AL,2019,99.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2008,100.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2009,101.2,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2010,101.5,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2011,101.8,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2012,102.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2013,102.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2014,103.7,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2015,104.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2016,106.0,b
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2017,106.8,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2018,107.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2019,107.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2008,353.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2009,356.0,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2010,359.5,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2011,364.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2012,366.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2013,368.0,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2014,369.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2015,371.8,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2016,373.7,b
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2017,373.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2018,375.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BE,2019,377.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2008,67.5,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2009,67.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2010,67.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2011,67.5,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2012,67.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2013,66.7,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2014,66.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2015,66.2,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2016,64.8,b
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2017,64.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2018,63.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,BG,2019,63.4,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2008,191.2,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2009,193.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2010,195.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2011,197.8,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2012,199.9,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2013,202.3,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2014,204.7,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2015,207.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2016,210.1,b
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2017,212.0,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2018,213.6,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CH,2019,215.1,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CY,2008,85.4,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CY,2009,87.7,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CY,2010,90.0,
ESTAT:TPS00003(1.0),20/08/21 23:00:00,A,PER_KM2,CY,2011,92.3,
