DATAFLOW,LAST UPDATE,freq,unit,sectperf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2008,1.78,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2009,1.77,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2010,1.87,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2011,1.84,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2012,2.05,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2013,2.09,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2014,2.2,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2015,2.18,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2016,2.19,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2017,2.14,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2018,2.2,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,AT,2019,2.23,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BA,2012,0.16,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BA,2013,0.19,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BA,2014,0.05,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BA,2019,0.07,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2008,1.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2009,1.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2010,1.38,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2011,1.49,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2012,1.59,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2013,1.62,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2014,1.66,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2015,1.7,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2016,1.73,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2017,1.87,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2018,1.87,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BE,2019,2.04,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2008,0.14,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2009,0.15,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2010,0.29,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2011,0.28,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2012,0.37,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2013,0.39,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2014,0.52,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2015,0.7,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2016,0.57,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2017,0.52,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2018,0.54,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,BG,2019,0.56,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CH,2008,1.94,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CH,2012,2.2,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CH,2015,2.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CH,2017,2.26,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2008,1.06,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2009,1.22,b
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2010,1.26,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2011,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2012,1.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2013,1.52,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2014,1.56,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2015,1.58,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2016,1.63,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2017,1.64,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CN_X_HK,2018,1.66,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2008,0.09,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2009,0.09,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2010,0.08,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2011,0.07,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2012,0.07,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2013,0.09,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2014,0.11,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2015,0.11,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2016,0.19,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2017,0.2,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2018,0.25,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CY,2019,0.26,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2008,0.71,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2009,0.71,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2010,0.77,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2011,0.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2012,0.95,
