DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2008,98.7,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2009,100.6,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2010,100.0,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2011,99.0,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2012,98.4,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2013,99.7,b
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2014,101.3,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2015,102.3,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2016,103.1,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2017,102.3,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2018,97.8,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,AT,2019,97.1,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2008,99.6,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2009,101.9,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2010,100.0,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2011,99.1,
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2012,98.8,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2013,93.4,be
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2014,93.8,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2015,90,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2016,87.5,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2017,86.7,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2018,85.8,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BE,2019,84.7,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2008,95.3,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2009,99.9,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2010,100,b
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2011,99.3,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2012,100.5,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2013,102.4,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2014,106.5,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2015,106.9,e
ESTAT:TTR00001(1.0),07/07/21 23:00:00,A,I10,BG,2016,101.8,e
